股票代码,股票简称,时间,持有信托家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002493,荣盛石化,2019-06-30,1,增持,46489322,0.73896878,46489322,100
002029,七匹狼,2019-06-30,1,增持,13045166,1.7263046,600200,4.82283358588525
300030,阳普医疗,2019-06-30,1,持平,8054347,2.60830834,0,0
300072,三聚环保,2019-06-30,1,减持,41600020,1.77042433,-5399980,-11.4893191489362
002013,中航机电,2019-06-30,1,持平,44087812,1.22172206,0,0
000627,天茂集团,2019-06-30,1,持平,70323488,1.42337111,0,0
002653,海思科,2019-06-30,1,持平,9886568,0.91519416,0,0
600673,东阳光,2019-06-30,1,增持,33718949,1.1187823,4780602,16.5199553381539
601717,郑煤机,2019-06-30,1,持平,40000000,2.30884046,0,0
002269,美邦服饰,2019-06-30,1,持平,58190814,2.3160523,0,0
002044,美年健康,2019-06-30,1,持平,120000000,3.84422316,0,0
600708,光明地产,2019-06-30,1,减持,46329538,2.0788286,-2127540,-4.39056601803353
000089,深圳机场,2019-06-30,1,持平,13006963,0.63424792,0,0
000801,四川九洲,2019-06-30,1,持平,19140000,1.87132143,0,0
002215,诺普信,2019-06-30,1,减持,40071867,4.38386416,-5500000,-12.0688494065867
002699,美盛文化,2019-06-30,1,持平,9955211,1.09449313,0,0
600885,宏发股份,2019-06-30,1,持平,10836529,1.45503336,0,0
002518,科士达,2019-06-30,1,减持,2246490,0.38569968,-1553510,-40.8818421052632
601369,陕鼓动力,2019-06-30,1,持平,28720000,1.71285753,0,0
601058,赛轮轮胎,2019-06-30,1,增持,90858585,3.36331325,90858585,100
600756,浪潮软件,2019-06-30,1,增持,1154398,0.35618712,1154398,100
002413,雷科防务,2019-06-30,1,持平,57000000,5.27207881,0,0
600277,亿利洁能,2019-06-30,1,持平,52751095,1.92596742,0,0
300003,乐普医疗,2019-06-30,1,持平,20736100,1.16386866,0,0
300130,新国都,2019-06-30,1,减持,12629499,2.6079563,-4770000,-27.4145824543569
600740,山西焦化,2019-06-30,1,持平,64000000,4.22150217,0,0
600682,南京新百,2019-06-30,1,持平,16503773,1.27667685,0,0
002273,水晶光电,2019-06-30,1,持平,9504540,1.10155538,0,0
603605,珀莱雅,2019-06-30,1,减持,849000,0.42162808,-53500,-5.92797783933518
600337,美克家居,2019-06-30,1,持平,47534034,2.68415451,0,0
002100,天康生物,2019-06-30,1,增持,36982188,3.67890566,36982188,100
300699,光威复材,2019-06-30,1,增持,7309412,1.41013061,2280032,45.3342559122596
300094,国联水产,2019-06-30,1,持平,6964820,0.76526492,0,0
000728,国元证券,2019-06-30,1,持平,455707462,13.54077053,0,0
601118,海南橡胶,2019-06-30,1,持平,47329612,1.10597992,0,0
603309,维力医疗,2019-06-30,1,减持,4572108,2.286054,-2300000,-33.4686241834383
600854,春兰股份,2019-06-30,1,增持,6432494,1.23830749,49293,0.772230108373526
000078,海王生物,2019-06-30,1,持平,38306260,1.38661016,0,0
601898,中煤能源,2019-06-30,1,增持,8663511,0.06534227,8663511,100
600694,大商股份,2019-06-30,1,持平,2516085,0.85663099,0,0
300113,顺网科技,2019-06-30,1,持平,27565625,3.97034879,0,0
002387,维信诺,2019-06-30,1,持平,67365269,4.92557499,0,0
002327,富安娜,2019-06-30,1,减持,7902148,0.90367767,-966608,-10.8990257483688
000731,四川美丰,2019-06-30,1,持平,9635148,1.62897767,0,0
002042,华孚时尚,2019-06-30,1,增持,24513255,1.61337695,24513255,100
600137,浪莎股份,2019-06-30,1,持平,545600,0.56121532,0,0
002585,双星新材,2019-06-30,1,增持,5593802,0.48377653,5593802,100
002747,埃斯顿,2019-06-30,1,减持,2792100,0.33413639,-2813600,-50.191769092174
603986,兆易创新,2019-06-30,1,持平,15081300,4.90317229,0,0
601996,丰林集团,2019-06-30,1,增持,7004005,0.61099016,7004005,100
002622,融钰集团,2019-06-30,1,持平,32263200,3.84085714,0,0
002607,中公教育,2019-06-30,1,减持,24300000,0.39400724,-700000,-2.8
000035,中国天楹,2019-06-30,1,持平,22727272,0.9319282,0,0
002141,贤丰控股,2019-06-30,1,持平,4564900,0.40231558,0,0
300339,润和软件,2019-06-30,1,减持,17293602,2.17144231,-1522000,-8.0890316451209
600222,太龙药业,2019-06-30,1,减持,3342920,0.58250565,-807900,-19.463624055006
300269,联建光电,2019-06-30,1,减持,9350035,1.57473254,-150000,-1.57894155126797
002135,东南网架,2019-06-30,1,增持,20893704,2.01988201,20893704,100
000818,航锦科技,2019-06-30,1,持平,5403000,0.78304348,0,0
000802,北京文化,2019-06-30,1,持平,4029000,0.5627879,0,0
600067,冠城大通,2019-06-30,1,增持,38122450,2.55493439,38122450,100
002617,露笑科技,2019-06-30,1,减持,9590743,0.65086197,-24976405,-72.254746038059
600634,*ST富控,2019-06-30,1,持平,20023285,3.47788245,0,0
002235,安妮股份,2019-06-30,1,增持,9025750,1.50109873,531247,6.25400921042703
600993,马应龙,2019-06-30,1,增持,4447427,1.03175661,251500,5.9939079016389
600996,贵广网络,2019-06-30,1,增持,1619900,0.15537589,1619900,100
002212,天融信,2019-06-30,1,持平,14360500,1.23959492,0,0
601212,白银有色,2019-06-30,1,增持,3667900,0.04953426,3667900,100
600416,*ST湘电,2019-06-30,1,增持,5100000,0.53920648,5100000,100
300266,兴源环境,2019-06-30,1,持平,13616038,0.87035079,0,0
002567,唐人神,2019-06-30,1,增持,31293904,3.74073588,2022217,6.90844022758237
600380,健康元,2019-06-30,1,增持,7342276,0.37885189,7342276,100
000513,丽珠集团,2019-06-30,1,增持,3624503,0.50406954,3624503,100
002005,ST德豪,2019-06-30,1,持平,73664825,4.17430669,0,0
600803,新奥股份,2019-06-30,1,持平,24573495,1.99889205,0,0
300021,大禹节水,2019-06-30,1,持平,15940000,1.9990953,0,0
002132,恒星科技,2019-06-30,1,减持,15863890,1.26254757,-30000,-0.188751778199044
300298,三诺生物,2019-06-30,1,持平,12261322,2.16893728,0,0
002433,太安堂,2019-06-30,1,持平,7568102,0.98700659,0,0
000881,中广核技,2019-06-30,1,减持,1274000,0.12429294,-1426000,-52.8148148148148
002635,安洁科技,2019-06-30,1,持平,4686530,0.67998571,0,0
600229,城市传媒,2019-06-30,1,增持,2668670,0.38010044,2668670,100
300357,我武生物,2019-06-30,1,增持,4305600,0.82233223,4305600,100
002057,中钢天源,2019-06-30,1,减持,10282906,1.7874369,-407265,-3.80971454993564
600965,福成股份,2019-06-30,1,持平,16257986,1.98582717,0,0
600696,ST岩石,2019-06-30,1,持平,7307239,2.14561896,0,0
300300,海峡创新,2019-06-30,1,增持,8095700,1.18507807,8095700,100
002363,隆基机械,2019-06-30,1,持平,3016780,0.72501269,0,0
600097,开创国际,2019-06-30,1,持平,7667731,3.18246888,0,0
600094,大名城,2019-06-30,1,减持,54979712,2.22111079,-53453214,-49.296109559932
300282,三盛教育,2019-06-30,1,增持,8100000,2.16400222,2700000,50
603897,长城科技,2019-06-30,1,减持,230000,0.12892377,-1115896,-82.9110124407829
600810,神马股份,2019-06-30,1,增持,1060000,0.23966718,70000,7.07070707070707
002029,七匹狼,2019-06-30,1,增持,13045166,1.7263046,600200,4.82283358588525
002267,陕天然气,2019-06-30,1,减持,14210000,1.277791,-4480000,-23.9700374531835
300030,阳普医疗,2019-06-30,1,持平,8054347,2.60830834,0,0
000040,东旭蓝天,2019-06-30,1,持平,37990701,2.55507221,0,0
600075,新疆天业,2019-06-30,1,持平,43674176,4.49081462,0,0
002167,东方锆业,2019-06-30,1,减持,4300000,0.69249178,-18407279,-81.0633409665685
600260,凯乐科技,2019-06-30,1,持平,5048695,0.70631227,0,0
600410,华胜天成,2019-06-30,1,持平,41170975,3.73494406,0,0
600614,*ST鹏起,2019-06-30,1,持平,91588168,5.22532743,0,0
002537,海联金汇,2019-06-30,1,减持,13474600,1.08027093,-31502783,-70.0413872456741
600168,武汉控股,2019-06-30,1,增持,1640400,0.23118237,1640400,100
603979,金诚信,2019-06-30,1,持平,9258080,1.58689513,0,0
000949,新乡化纤,2019-06-30,1,减持,38000000,3.02149384,-10500000,-21.6494845360825
600687,退市刚泰,2019-06-30,1,增持,22203240,1.49143627,22203240,100
000554,泰山石油,2019-06-30,1,减持,7811800,1.62477299,-5696351,-42.1697314458507
300094,国联水产,2019-06-30,1,持平,6964820,0.76526492,0,0
002213,大为股份,2019-06-30,1,持平,10145602,4.92504951,0,0
002201,九鼎新材,2019-06-30,1,持平,7289885,2.19266113,0,0
600339,中油工程,2019-06-30,1,持平,51084883,0.91498359,0,0
600727,鲁北化工,2019-06-30,1,持平,17509917,4.9887707,0,0
