股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002768,国恩股份,2020-03-31,5,减持,1580400,0.58263594,-1544600,-49.4272
300497,富祥药业,2020-03-31,5,减持,8153299,2.82414938,-321461,-3.79315756434401
603538,美诺华,2020-03-31,5,增持,244900,0.16361352,244900,100
601390,中国中铁,2020-03-31,4,减持,629100,0.00256035,-270000,-30.03003003003
600383,金地集团,2020-03-31,4,增持,837183,0.01854396,389583,87.0382037533512
300036,超图软件,2020-03-31,4,增持,113800,0.02531492,31400,38.1067961165049
601601,中国太保,2020-03-31,4,减持,264674,0.0029207,-500932,-65.429476780485
300759,康龙化成,2020-03-31,4,增持,12000,0.0015106,12000,100
002241,歌尔股份,2020-03-31,4,减持,211700,0.00652367,-232800,-52.3734533183352
300003,乐普医疗,2020-03-31,4,增持,19463996,1.09246845,10497597,117.077067393499
300529,健帆生物,2020-03-31,4,减持,76900,0.01836798,-145034,-65.3500590265574
002594,比亚迪,2020-03-31,4,减持,35400,0.00129758,-32555212,-99.891379762982
601800,中国交建,2020-03-31,4,增持,434400,0.00268567,432000,18000
600873,梅花生物,2020-03-31,4,减持,18279427,0.58884412,-12188683,-40.0047229710015
002607,中公教育,2020-03-31,4,减持,173300,0.00280994,-400,-0.23028209556707
002541,鸿路钢构,2020-03-31,4,增持,348000,0.06644786,348000,100
601601,中国太保,2020-03-31,4,减持,264674,0.0029207,-500932,-65.429476780485
600699,均胜电子,2020-03-31,4,增持,30340,0.00245219,340,1.13333333333333
300036,超图软件,2020-03-31,4,增持,113800,0.02531492,31400,38.1067961165049
601100,恒立液压,2020-03-31,4,增持,14947,0.00169468,5347,55.6979166666667
600885,宏发股份,2020-03-31,4,减持,411833,0.0552973,-477913,-53.7134193354058
002223,鱼跃医疗,2020-03-31,4,减持,108200,0.01079326,-8879066,-98.7960743567621
601169,北京银行,2020-03-31,4,增持,360000,0.00170269,185000,105.714285714286
600438,通威股份,2020-03-31,4,减持,74239682,1.73139414,-5397005,-6.77703355489914
603288,海天味业,2020-03-31,4,增持,54600,0.00202194,54600,100
600521,华海药业,2020-03-31,4,增持,291100,0.02201349,88100,43.3990147783251
002685,华东重机,2020-03-31,4,减持,16522574,1.63964746,-300000,-1.78331805822343
002391,长青股份,2020-03-31,4,增持,324905,0.05098985,324905,100
